Rank,NCT Number,Title,Acronym,Status,Conditions.1,Conditions.2,Conditions.3,Conditions.4,Conditions.5,Conditions.6,Conditions.7,Interventions,Sponsor/Collaborators,Gender,Age,Enrollment,Funded Bys,Study Type,Start Date,Primary Completion Date,Completion Date,First Posted,Last Update Posted,Locations.1,Country,Generalized Condition,Has Chronic Condition,Condition Count,Total Days Taken
3123.0,NCT04333953,COVID-19 in Patients With HIV,,Recruiting,HIV/AIDS,COVID-19,COVID-19,,,,,Other: No intervention,University of Missouri-Columbia,All,"Child, Adult, Older Adult",500.0,Other,Observational,2020-01-04,01/10/20,2020-01-10,03/04/20,07/04/20,"University of Missouri-Columbia, Columbia, Missouri",United States,Respiratory Diseases,1,3,6.0
3124.0,NCT04841681,Video-based Psychotherapy for COVID-19 Patients in Isolation Ward in Jakarta,,Completed,COVID-19,"Distress, Emotional",,,,,,Behavioral: Video-based Psychotherapy,"Indonesia University|National Institute of Health Research and Development, Ministry of Health Republic of Indonesia",All,"18 Years and older   (Adult, Older Adult)",42.0,Other,Interventional,2020-07-06,25/08/20,2020-08-26,12/04/21,12/04/21,"dr. Cipto Mangunkusumo National General Hospital, Jakarta Pusat, DKI Jakarta",Indonesia,Respiratory Diseases,1,2,51.0
3125.0,NCT04407429,Vienna Versus SARS-CoV-2 Virus Study,VIVI,Recruiting,COVID-19,COVID-19,,,,,,Diagnostic Test: Laboratory Analyses,Medical University of Vienna,All,"Child, Adult, Older Adult",12000.0,Other,Observational,2020-05-27,27/06/21,2021-06-27,29/05/20,29/05/20,"Medical University of Vienna, Vienna",Austria,Respiratory Diseases,1,2,396.0
3126.0,NCT04385940,Vitamin D and COVID-19 Management,,Not yet recruiting,COVID-19,,,,,,,"Dietary Supplement: Ddrops® products, 50,000 IU, Oral|Dietary Supplement: Vitamin D3",University of Alberta,All,"17 Years and older   (Child, Adult, Older Adult)",64.0,Other,Interventional,2020-01-06,01/08/20,2020-01-12,13/05/20,05/06/20,,,Respiratory Diseases,1,1,6.0
3127.0,NCT04338100,Point Of Care UltraSonography for Risk-stratification of COVID-19 Patients,POCUSCO,Not yet recruiting,COVID-19,Coronavirus Infection,,,,,,Procedure: Follow-up at 14 days,"University Hospital, Angers",All,"18 Years and older   (Adult, Older Adult)",300.0,Other,Observational,2020-06-04,29/12/20,2021-01-29,08/04/20,08/04/20,,,Respiratory Diseases,1,2,239.0
3128.0,NCT04425759,Prevalence and Risk Factors of SARS-CoV-2 Antibody Responses (COVID-19),SERO-MARES,Recruiting,COVID-19,Corona Virus Infection,SARS-CoV 2,COVID-19,,,,Diagnostic Test: Blood sample,Hospital de Mataró,All,"18 Years and older   (Adult, Older Adult)",2400.0,Other,Observational,2020-08-06,30/06/21,2021-06-30,11/06/20,16/06/20,"Hospital de Mataró, Mataró, Barcelona",Spain,Respiratory Diseases,1,4,328.0
3129.0,NCT04469491,Treatment of COVID-19 by Nebulization of Inteferon Beta 1b Efficiency and Safety Study,COV-NI,Recruiting,COVID-19,INTERFERON,NEBULIZATION,,,,,Drug: inhaled type I interferon|Drug: WFI water nebulization,"Centre Hospitalier Universitaire, Amiens",All,"18 Years and older   (Adult, Older Adult)",146.0,Other,Interventional,2020-09-20,01/09/21,2021-01-09,14/07/20,04/03/21,"CH d'Abbeville, Abbeville, France|CHU Amiens, Amiens, France|CH Compiègne-Noyon, Compiegne, France|CH de l'Arrondissement de Montreuil-sur-mer, Rang-du-Fliers, France|CH de Saint-Quentin, Saint-Quentin, France|CH de Tourcoing, Tourcoing, France|CH de valenciennes, Valenciennes",France,Respiratory Diseases,1,3,111.0
3130.0,NCT04362189,Efficacy and Safety Study of Allogeneic HB-adMSCs for the Treatment of COVID-19,,"Active, not recruiting",COVID-19,,,,,,,Drug: HB-adMSC|Drug: Placebo,Hope Biosciences|Advanced Diagnostics Healthcare|Hope Biosciences Stem Cell Research Foundation|United Memorial Medical Center,All,"Child, Adult, Older Adult",100.0,Industry|Other,Interventional,2020-06-30,31/10/21,2021-10-31,24/04/20,25/03/21,"River Oaks Hospital and Clinics, Houston, Texas, United States|United Memorial Medical Center, Houston, Texas",United States,Respiratory Diseases,1,1,488.0
3131.0,NCT04365582,OUTpatient Treatment of COVID-19 in Patients With Risk Factor for Poor Outcome,OUTCOV,Suspended,COVID-19,,,,,,,Drug: Azithromycin|Drug: Hydroxychloroquine|Drug: Lopinavir 200Mg/Ritonavir 50Mg Tab,Groupe Hospitalier Paris Saint Joseph,All,"50 Years and older   (Adult, Older Adult)",640.0,Other,Interventional,2020-07-05,31/12/20,2021-07-02,28/04/20,31/12/20,"Hôpital Privé d'Antony, Antony, France|Hôpital Avicenne, Bobigny, France|Centre Hospitalier Intercommunal de Créteil, Créteil, France|Groupe Hospitalier Paris Saint-Joseph, Paris, France|Institut Mutualiste Montsouris, Paris",France,Respiratory Diseases,1,1,362.0
3132.0,NCT04341688,A Clinical Trial of Gargling Agents in Reducing Intraoral Viral Load Among COVID-19 Patients,GARGLES,Not yet recruiting,COVID-19,,,,,,,Drug: Gargle/Mouthwash,Aga Khan University|University of Karachi,All,"18 Years to 65 Years   (Adult, Older Adult)",50.0,Other,Interventional,2021-01-02,30/06/21,2021-07-31,10/04/20,13/01/21,,,Respiratory Diseases,1,1,210.0
3133.0,NCT04353401,WGS Analysis of COVID-19 Positive Patients,CALYPSO,Enrolling by invitation,Coronavirus Infection,COVID-19,,,,,,,Vanda Pharmaceuticals,All,"18 Years and older   (Adult, Older Adult)",5000.0,Industry,Observational,2020-03-08,01/04/21,2021-01-05,20/04/20,21/12/20,"Vanda Investigational Site, Cleveland, Ohio",United States,Respiratory Diseases,1,2,303.0
3134.0,NCT04487444,Thymalfasin (Thymosin Alpha 1) to Treat COVID-19 Infection,Ta1,Recruiting,COVID-19,,,,,,,Drug: Thymalfasin,Rhode Island Hospital,All,"18 Years and older   (Adult, Older Adult)",80.0,Other,Interventional,2020-10-09,01/03/21,2021-01-06,27/07/20,14/09/20,"The Miriam Hospital, Providence, Rhode Island",United States,Respiratory Diseases,1,1,89.0
3135.0,NCT04561219,Nitazoxanide Therapy for Patients With COVID-19 Pneumonia,,Completed,COVID-19,Corona Virus Infection,"Pneumonia, Viral",,,,,Drug: Nitazoxanide|Drug: Placebo,"Universidade Federal do Rio de Janeiro|Ministry of Science and Technology, Brazil|National Research Council, Brazil|Financiadora de Estudos e Projetos|ATCGen|Hospital Central da Aeronáutica, Rio de Janeiro|Hospital da Força Aérea do Galeão|Hospital Naval Marcilio Dias|Hospital Universitario Pedro Ernesto|Hospital de Força Aérea de São Paulo|Hospital das Clínicas Luzia de Pinho Melo|Complexo Hospitalar Municipal de São Caetano do Sul|Hospital Municipal de Barueri Dr Francisco Moran|Hospital Regional de Sorocaba Dr Adib Domingos Jatene|Hospital Geral de São Mateus Dr Manoel Bifulco|Santa Casa de Misericórdia de Belo Horizonte|Mater Dei Hospital, Brazil|Hospital Eduardo de Menezes|Hospital das Clínicas da Universidade Federal de Pernambuco|Hospital das Forças Armadas, Brazil|Hospital Regional da Asa Norte, Brazil|Complexo Hospitalar do Trabalhador de Curitiba|Hospital Estadual de Doenças Tropicais Dr Anuar Auad|Hospital Geral de Fortaleza",All,"18 Years and older   (Adult, Older Adult)",500.0,Other,Interventional,2020-04-19,02/10/20,2020-02-10,23/09/20,28/10/20,"Universidade Federal do Rio de Janeiro, Rio De Janeiro",Brazil,Respiratory Diseases,1,3,-69.0
3136.0,NCT04351789,Impact of a Minimal Psychoeducational Intervention on Anxiety Among Hospitalized COVID-19 Patients in Denmark,PISCA,Recruiting,COVID-19,Mental Health,Psychoeducation,Anxiety,,,,Other: Psychoeducational intervention,"Copenhagen University Hospital, Hvidovre",All,"18 Years and older   (Adult, Older Adult)",66.0,Other,Interventional,2020-01-05,01/04/23,2023-01-04,17/04/20,24/08/20,"Copenhagen University Hospital, Hvidovre, Hvidovre",Denmark,"Mental Health, Respiratory Diseases",1,4,1095.0
3137.0,NCT04319445,Mindfulness During COVID-19,,Completed,Migraine Disorders,Stress,Anxiety,,,,,Behavioral: Mindfulness session(s),Wake Forest University Health Sciences,All,"Child, Adult, Older Adult",233.0,Other,Interventional,2020-03-22,31/08/20,2021-03-30,24/03/20,01/04/21,"Wake Forest Health Sciences, Winston-Salem, North Carolina",United States,"Mental Health, Neurological Disorders",1,3,373.0
3138.0,NCT04460170,COVID-19 Follow up Intensive Care Studies,COFICS,Recruiting,Quality of Life,COVID-19,,,,,,,University Medical Center Groningen|Hanze University of Applied Sciences Groningen,All,"18 Years and older   (Adult, Older Adult)",100.0,Other,Observational,2020-01-07,01/02/22,2022-01-02,07/07/20,28/07/20,"University Medical Center Groningen, Groningen",Netherlands,Respiratory Diseases,1,2,726.0
3139.0,NCT04341142,Assessment of Serological Techniques for Screening Patients Regarding COVID-19-COVID-SER,COVID-SER,Recruiting,CoV2 Positive Caregivers,,,,,,,Diagnostic Test: Serological tests will be applied on patients blood sampling,Hospices Civils de Lyon,All,"18 Years and older   (Adult, Older Adult)",550.0,Other,Interventional,2020-09-04,09/04/23,2024-09-04,10/04/20,31/07/20,"Hôpital Lyon Sud,Sainte Eugénie bat 4M,5, Chemin du Grand Revoyet, Pierre-Bénite cedex",France,Others,0,1,1461.0
3140.0,NCT04336774,CAPTION AI to Minimize Risk of COVID Exposure,CAPTION AI,Withdrawn,COVID-19,,,,,,,Device: Caption AI,"Duke University|Caption Health, Inc.",All,"18 Years and older   (Adult, Older Adult)",0.0,Other|Industry,Interventional,2020-01-07,01/11/20,2020-09-11,07/04/20,10/08/20,"Duke Health, Durham, North Carolina, United States|Duke University Medical Center, Durham, North Carolina",United States,Respiratory Diseases,1,1,248.0
3141.0,NCT04843930,Improving Cognitive Health in COVID-19 Survivors,,Not yet recruiting,Cognitive Dysfunction,COVID-19,,,,,,Device: AKL-T01,"Weill Medical College of Cornell University|Akili Interactive Labs, Inc.",All,"18 Years to 89 Years   (Adult, Older Adult)",125.0,Other|Industry,Interventional,2021-01-04,01/07/22,2022-01-10,14/04/21,14/04/21,"Weill Cornell Medicine, New York, New York",United States,Respiratory Diseases,1,2,371.0
3142.0,NCT04836052,Omega-3 Oil Use in COVID-19 Patients in Qatar,Omega3,Recruiting,COVID-19,,,,,,,Drug: Omega 3 fatty acid,Hamad Medical Corporation,All,"18 Years and older   (Adult, Older Adult)",372.0,Industry,Interventional,2020-12-24,24/08/21,2021-12-24,08/04/21,08/04/21,"Hamad Medical Corporation, Doha, DC",Qatar,Respiratory Diseases,1,1,365.0
3143.0,NCT04780672,Clinical Study in the Treatment of Patients With COVID-19,,Recruiting,COVID-19,,,,,,,Drug: Molixan|Drug: Placebo,Pharma VAM,All,"18 Years to 75 Years   (Adult, Older Adult)",330.0,Other,Interventional,2021-09-03,19/08/21,2021-10-19,03/03/21,15/03/21,"Yaroslavl Regional Clinical Hospital for War Veterans - The International Center for the Elderly Healthy Longevity, Yaroslavl",Russian Federation,Respiratory Diseases,1,1,46.0
3144.0,NCT04361448,Performance of 3 Sampling Methods for the Detection of SARS-CoV-2 (COVID-19) With Real-time Reverse Transcriptase PCR,,Terminated,COVID-19,COVID-19,Diagnosis,Polymerase Chain Reaction,,,,Other: samling of oropharynx and nasopharynx,Jessa Hospital,All,"Child, Adult, Older Adult",30.0,Other,Interventional,2020-04-20,30/06/20,2020-06-30,24/04/20,15/02/21,"Jessa Hospital, Hasselt",Belgium,Respiratory Diseases,1,4,71.0
3145.0,NCT04368923,Management of Covid-19 Patients During Home Isolation,,"Active, not recruiting",COVID-19,,,,,,,Device: Oxygen Therapy|Procedure: Physical Therapy,Cairo University,All,21 Years to 40 Years   (Adult),60.0,Other,Interventional,2020-03-15,21/06/20,2020-06-23,30/04/20,23/06/20,"M. Sedky, Cairo",Egypt,Respiratory Diseases,1,1,100.0
3146.0,NCT04527198,Brainstem Dysfunction in COVID-19 Critically Ill Patients: a Prospective Observational Study,BRAINSTEM-COV,Not yet recruiting,COVID-19,,,,,,,Diagnostic Test: Brainstem Responses Assessment Sedation Score (BRASS)|Diagnostic Test: Electroencephalogram with EKG lead,Assistance Publique - Hôpitaux de Paris,All,"18 Years and older   (Adult, Older Adult)",40.0,Other,Interventional,2020-01-09,01/06/21,2021-01-06,26/08/20,09/09/20,"Hôpital Cochin, Paris, France|HEGP, Paris",France,Respiratory Diseases,1,1,363.0
3147.0,NCT04351633,Psychological Impact of Quarantine in Osteoporosis Patient During COVID-19 Outbreak,OsPsyCOVID,Completed,Sars-CoV2,Osteoporosis,,,,,,Other: questionnaire assesment,"University Hospital, Lille",All,"18 Years and older   (Adult, Older Adult)",52.0,Other,Observational,2020-04-23,30/04/20,2020-04-30,17/04/20,11/12/20,"Hopital Roger Salengro, CHU Lille, Lille",France,Respiratory Diseases,1,2,7.0
3148.0,NCT04325919,Coronavirus Disease 2019 (COVID-19) Study of Hospitalized Patients in Hong Kong,,Recruiting,Coronavirus Infections,,,,,,,Other: No intervention,Chinese University of Hong Kong,All,"18 Years and older   (Adult, Older Adult)",170.0,Other,Observational,2020-02-24,28/02/21,2021-06-17,30/03/20,30/03/20,"Prince of Wales Hospital, Sha Tin",Hong Kong,Respiratory Diseases,1,1,479.0
3149.0,NCT04752839,Evaluation of the Psychosocial Impact on Health Professionals Exposed During COVID 19 Coronavirus Pandemic,,Not yet recruiting,Psychological Stress,Psychosocial Impairment,Anxiety,Depression,Post Traumatic Stress Disorder,Coronavirus Infection,COVID-19,,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,All,"Child, Adult, Older Adult",300.0,Other,Observational,2021-01-02,01/03/21,2021-01-05,12/02/21,12/02/21,"Hospital de la Santa Creu i Sant Pau, Barcelona",Spain,"Mental Health, Respiratory Diseases",1,7,3.0
3150.0,NCT04374110,Drug Safety and the Occurrence of Complications During Hospitalization in Patients With COVID-19,COR-CARDIO,Recruiting,COVID-19,Hypertension,Cardiovascular Diseases,Cardiovascular Risk Factor,,,,Other: Clinical data,"Institute of Cardiology, Warsaw, Poland",All,"18 Years and older   (Adult, Older Adult)",1000.0,Other,Observational,2020-05-05,24/06/20,2021-08-24,05/05/20,06/05/20,"National Institute of Cardiology, Warsaw",Poland,"Cardiovascular Diseases, Respiratory Diseases",1,4,476.0
3151.0,NCT04431414,A Study of Immune Responses to the Virus That Causes COVID-19,CoVPN 5001,Recruiting,COVID-19,COVID-19,,,,,,Other: Sample collection,COVID-19 Prevention Network|National Institute of Allergy and Infectious Diseases (NIAID),All,"18 Years and older   (Adult, Older Adult)",800.0,Other|NIH,Observational,2020-07-20,01/09/21,2021-01-09,16/06/20,14/04/21,"Alabama CRS, Birmingham, Alabama, United States|Bridge HIV CRS, San Francisco, California, United States|University of Miami Infectious Disease Research Unit at Jackson Memorial Hospital CRS, Miami, Florida, United States|The Ponce de Leon Center CRS, Atlanta, Georgia, United States|The Hope Clinic of the Emory Vaccine Center CRS, Decatur, Georgia, United States|New Orleans Adolescent Trials Unit CRS, New Orleans, Louisiana, United States|Johns Hopkins University CRS, Baltimore, Maryland, United States|Brigham and Women's Hospital Vaccine CRS (BWH VCRS), Boston, Massachusetts, United States|Fenway Health (FH) CRS, Boston, Massachusetts, United States|New Jersey Medical School Clinical Research Center CRS, Newark, New Jersey, United States|Columbia P&S CRS, New York, New York, United States|New York Blood Center CRS, New York, New York, United States|University of Rochester Vaccines to Prevent HIV Infection CRS, Rochester, New York, United States|Chapel Hill CRS, Chapel Hill, North Carolina, United States|Case CRS, Cleveland, Ohio, United States|Penn Prevention CRS, Philadelphia, Pennsylvania, United States|Seattle Vaccine and Prevention CRS, Seattle, Washington, United States|Fundacion Huesped CRS, Buenos Aires, Argentina|Hospital General de Agudos JM Ramos Mejía CRS, Buenos Aires, Argentina|Gaborone CRS, Gaborone, Botswana|SOM Federal University Minas Gerais Brazil NICHD CRS, Belo Horizonte, Brazil|Instituto de Pesquisa Clinica Evandro Chagas (IPEC) CRS, Rio de Janeiro, Brazil|Kisumu Crs, Kisumu, Kenya|Malawi CRS, Lilongwe, Malawi|Merida CRS, Mérida, Mexico|Polana Canico Health Research and Training Center (CISPOC), National Institute of Health (INS) CRS, Maputo, Mozambique|CITBM - UNIDEC, Centro de Investigaciones Tecnológicas, Biomédicas y Medioambientales CRS, Bellavista, Peru|Asociacion Civil Selva Amazonica (ASCA) CRS, Iquitos, Peru|Barranco CRS, Lima, Peru|San Miguel CRS, Lima, Peru|Via Libre CRS, Lima, Peru|Groote Schuur HIV CRS, Cape Town, South Africa|Khayelitsha CRS / (CIDRI UCT), Cape Town, South Africa|Masiphumelele Clinical Research Site (MASI) CRS, Cape Town, South Africa|Chatsworth CRS, Chatsworth, South Africa|Botha's Hill CRS, Durban, South Africa|CAPRISA eThekwini CRS, Durban, South Africa|Vulindlela CRS, Durban, South Africa|Ndlovu Research Centre CoVPN CRS, Elandsdoorn, South Africa|Isipingo CRS, Isipingo, South Africa|Kliptown Soweto CRS, Johannesburg, South Africa|Soweto HVTN CRS, Johannesburg, South Africa|Aurum Institute Klerksdorp CRS, Klerksdorp, South Africa|Qhakaza Mbokodo Research Clinic CRS, Ladysmith, South Africa|MeCRU CRS, Medunsa, South Africa|Nelson Mandela Academic Research Unit CRS, Mthatha, South Africa|Rustenburg CRS, Rustenburg, South Africa|Setshaba Research Centre CRS, Soshanguve, South Africa|Tembisa Clinic 4 CoVPN CRS, Tembisa, South Africa|Tongaat CRS, Tongaat, South Africa|Verulam CRS, Verulam, South Africa|National Institute for Medical Research (NIMR) - Mbeya Medical Research Center (MMRC) Network CRS, Mbeya, Tanzania|Matero Reference Clinic CRS, Lusaka, Zambia|Zambia Emory HIV Research Project - Lusaka CoVPN CRS, Lusaka, Zambia|Zambia Emory HIV Research Project - Ndola CoVPN CRS, Ndola, Zambia|St Mary's CRS, Chitungwiza, Zimbabwe|Milton Park CRS, Harare, Zimbabwe|Seke South CRS, Harare",Zimbabwe,Respiratory Diseases,1,2,173.0
3152.0,NCT04451239,Topical Steroids and Cyclosporin-A for COVID-19 Keratoconjunctivitis,,Not yet recruiting,Keratonjunctivitis,,,,,,,Drug: topical steroids and cyclosporin-A,"Ameera Gamal Abdelhameed|Ministry of Health, Kuwait|Mansoura University",All,"Child, Adult, Older Adult",12.0,Other,Interventional,2020-06-30,01/07/20,2020-01-07,30/06/20,30/06/20,"Farawanyia hospital, Kuwait, Farawanyia",Kuwait,Others,0,1,-175.0
3153.0,NCT04324528,Cytokine Adsorption in Severe COVID-19 Pneumonia Requiring Extracorporeal Membrane Oxygenation,CYCOV,Completed,Coronavirus,COVID-19,SARS-CoV Infection,Respiratory Failure,Cytokine Storm,,,Device: vv-ECMO + cytokine adsorption (Cytosorb adsorber)|Device: vv-ECMO only (no cytokine adsorption),Dr. Alexander Supady|University Hospital Freiburg,All,"18 Years to 100 Years   (Adult, Older Adult)",34.0,Other,Interventional,2020-03-27,27/01/21,2021-01-27,27/03/20,15/03/21,"University Clinic Freiburg, Freiburg",Germany,Respiratory Diseases,1,5,306.0
3154.0,NCT04673292,Community Collaboration to Combat COVID-19 (C-FORWARD),,Enrolling by invitation,Coronavirus Infection,,,,,,,"Behavioral: Fixed site standard of care testing|Behavioral: Community-based, mobile van testing|Behavioral: Self-collected, home-based testing",Johns Hopkins University|National Institute of Allergy and Infectious Diseases (NIAID),All,"5 Years and older   (Child, Adult, Older Adult)",3000.0,Other|NIH,Interventional,2021-08-02,01/08/21,2021-01-08,17/12/20,18/02/21,"2212 McElderry Street, Baltimore, Maryland",United States,Respiratory Diseases,1,1,-206.0
3155.0,NCT04423978,Implications of Covid-19 on the Lifestyle Changes,,Completed,COVID-19,,,,,,,,Azienda Unità Sanitaria Locale Reggio Emilia,All,"18 Years and older   (Adult, Older Adult)",1826.0,Other,Observational,2020-04-05,15/06/20,2020-06-15,09/06/20,20/07/20,"Elisa Mazzini, Reggio Emilia",Italy,Respiratory Diseases,1,1,71.0
3156.0,NCT04377165,Innovative Tool to Limit Spread of COVID 19 in Residential Aged Care Facilities,,Terminated,COVID-19,Influenza,Gastroenteritis,,,,,Behavioral: Gamification|Behavioral: Newsfeed function,The University of Queensland,All,"18 Years to 90 Years   (Adult, Older Adult)",34.0,Other,Interventional,2020-06-05,26/08/20,2020-08-26,06/05/20,09/03/21,,,"Infectious Diseases, Respiratory Diseases",1,3,82.0
3157.0,NCT04426006,Serological Response to SARS-Cov-2 Virus in Personnel of the Institut Bergonié in the Context of the COVID-19 Pandemic,PRO-SERO-COV,"Active, not recruiting",Sars-CoV2,Serum; Disease,,,,,,Other: PRO-SERO-COV,Institut Bergonié,All,"18 Years and older   (Adult, Older Adult)",550.0,Other,Interventional,2020-01-06,01/06/21,2021-01-12,11/06/20,30/11/20,"Institut Bergonié, Bordeaux",France,Respiratory Diseases,1,2,372.0
3158.0,NCT04354714,Ruxolitinib to Combat COVID-19,,Withdrawn,COVID-19,,,,,,,Drug: Ruxolitinib|Procedure: Peripheral blood draw,Washington University School of Medicine|Incyte Corporation,All,"18 Years and older   (Adult, Older Adult)",0.0,Other|Industry,Interventional,2020-06-30,31/07/21,2021-12-31,21/04/20,21/05/20,,,Respiratory Diseases,1,1,549.0
3159.0,NCT04422561,Prophylactic Ivermectin in COVID-19 Contacts,,Completed,COVID-19,,,,,,,Drug: Ivermectin Tablets,Zagazig University,All,"16 Years to 70 Years   (Child, Adult, Older Adult)",340.0,Other,Interventional,2020-05-31,14/07/20,2020-07-27,09/06/20,27/08/20,"Zagazig University, Zagazig, Sharkia",Egypt,Respiratory Diseases,1,1,57.0
3160.0,NCT04455347,Cardiac and Thoracic Imaging in Pediatric Patients With Evidence of Systemic Inflammation COVID19 Linked,CARDOVID,Recruiting,COVID-19,,,,,,,,Imagine Institute,All,"up to 20 Years   (Child, Adult)",80.0,Other,Observational,2020-06-15,01/06/22,2022-01-06,02/07/20,02/07/20,"Hôpital Necker, Paris",France,Respiratory Diseases,1,1,570.0
3161.0,NCT04491214,Post ICU Follow up in Patients With Severe SARS-CoV-2 Infection (Covid-19),,Completed,COVID-19,Follow up,Rehabilitation,,,,,Other: quality of live assessment,"University Hospital, Strasbourg, France",All,"18 Years and older   (Adult, Older Adult)",112.0,Other,Observational,2020-07-24,21/01/21,2021-01-21,29/07/20,12/02/21,"Hôpitaux Universitaires de Strasbourg (Nouvel Hôpital Civil), Strasbourg",France,Respiratory Diseases,1,3,181.0
3162.0,NCT04746521,Cellular-Mediated Immunity in COVID-19,DEMETRA,Recruiting,COVID-19,,,,,,,Diagnostic Test: Multitest 6 color TBNK and BD Lyotubes,"University of Campania ""Luigi Vanvitelli""",All,"18 Years and older   (Adult, Older Adult)",100.0,Other,Observational,2021-01-03,01/01/22,2022-01-12,09/02/21,10/02/21,"U.O.C. Division of Clinical Immunology, Immunohematology, Transfusion Medicine and Transplant Immunology, Regional Reference Laboratory of Transplant Immunology, Department of Internal and Specialty Medicine, A.O.U., UniversityofCampania Luigi Vanvitelli, Napoli",Italy,Respiratory Diseases,1,1,374.0
3163.0,NCT04529421,Assocation Between In-person Instruction and COVID-19 Risk,Campus&Corona,Enrolling by invitation,Infection,Infection Control,,,,,,Behavioral: Online instruction|Behavioral: In-person instruction,Oslo Metropolitan University|Norwegian Institute of Public Health,All,"18 Years and older   (Adult, Older Adult)",70000.0,Other,Observational,2020-04-09,31/12/20,2021-01-08,27/08/20,03/03/21,"Oslo Metropolitan University, Oslo",Norway,Others,0,2,274.0
3164.0,NCT04629105,Regenerative Medicine for COVID-19 and Flu-Elicited ARDS Using Longeveron Mesenchymal Stem Cells (LMSCs) (RECOVER),RECOVER,Recruiting,"ARDS, Human",COVID-19,,,,,,Biological: Longeveron Mesenchymal Stem Cells (LMSCs)|Other: Placebo,Longeveron LLC,All,"18 Years and older   (Adult, Older Adult)",70.0,Industry,Interventional,2020-07-24,01/08/21,2025-01-07,16/11/20,16/11/20,"Miami VA Healthcare System, Miami, Florida, United States|University of Maryland Medical Center, Baltimore, Maryland, United States|Wake Forest Baptist Medical Center, Winston-Salem, North Carolina",United States,Respiratory Diseases,1,2,1628.0
3165.0,NCT04711863,Fluvoxamine for Adults With Mild to Moderate COVID-19,,Recruiting,Severe Acute Respiratory Syndrome Coronavirus 2,Coronavirus Infection,COVID-19,,,,,Drug: Fluvoxamine|Drug: Placebo,Asan Medical Center,All,"18 Years to 85 Years   (Adult, Older Adult)",400.0,Other,Interventional,2021-01-16,31/05/21,2021-07-31,15/01/21,20/01/21,"Asan Medical Center, Seoul, Korea",Republic of,Respiratory Diseases,1,3,196.0
3166.0,NCT04750369,Enhanced Triage for COVID-19,ETC-19,Recruiting,COVID-19,SARS-CoV 2,,,,,,,"University Health Network, Toronto",All,"18 Years and older   (Adult, Older Adult)",400.0,Other,Observational,2020-01-04,31/03/21,2021-03-31,11/02/21,11/02/21,"University Health Network, Toronto, Ontario",Canada,Respiratory Diseases,1,2,452.0
3167.0,NCT04681079,Comparison of Viral Particle Dispersion Following Administration of an MDI or Nebulizer in Subjects With COVID-19,,Recruiting,COVID-19,,,,,,,Drug: albuterol sulfate (MDI)|Drug: albuterol sulfate (nebulizer),Theravance Biopharma,All,"18 Years and older   (Adult, Older Adult)",10.0,Industry,Observational,2021-01-02,01/04/21,2021-01-04,23/12/20,02/03/21,"Theravance Biopharma Investigational Site, Kansas City, Kansas",United States,Respiratory Diseases,1,1,2.0
3168.0,NCT04330638,Treatment of COVID-19 Patients With Anti-interleukin Drugs,COV-AID,"Active, not recruiting",COVID-19,,,,,,,Other: Usual Care|Drug: Anakinra|Drug: Siltuximab|Drug: Tocilizumab,"University Hospital, Ghent|Belgium Health Care Knowledge Centre",All,"18 Years and older   (Adult, Older Adult)",342.0,Other,Interventional,2020-03-04,18/12/20,2021-12-04,01/04/20,02/03/21,"AZ Sint-Jan Brugge, Brugge, Belgium|University Hospital Saint-Pierre, Brussels, Belgium|Erasmus University Hospital, Brussels, Belgium|University Hospital Saint-Luc, Brussels, Belgium|University Hospital Antwerp, Edegem, Belgium|Ziekenhuis Oost-Limurg, Genk, Belgium|AZ Sint-Lucas, Gent, Belgium|University Hospital Ghent, Gent, Belgium|Jessa ZH, Hasselt, Belgium|University Hospital Brussels, Jette, Belgium|CHU Tivoli, La Louvière, Belgium|CHR de la Citadelle, Liège, Belgium|University Hospital Liège, Liège, Belgium|Cliniques Saint-Pierre Ottignies, Ottignies-Louvain-la-Neuve, Belgium|AZ Delta, Roeselare",Belgium,Respiratory Diseases,1,1,640.0
3169.0,NCT04441372,Prognostication of Oxygen Requirement in Non-severe SARS-CoV-2 Infection,PRIORITISE,Recruiting,SARS-CoV2,COVID-19,,,,,,,"Medecins Sans Frontieres, Spain|Mahidol Oxford Tropical Medicine Research Unit (MORU)|International Centre for Diarrhoeal Disease Research, Bangladesh|Foundation for Innovative New Diagnostics, Switzerland",All,"18 Years and older   (Adult, Older Adult)",600.0,Other,Observational,2020-01-10,01/05/21,2021-01-05,22/06/20,26/02/21,"All India Institute of Medical Sciences Patna (AIIMS), Patna, Bihar, India|Christian Medical College, Vellore, Vellore, Tamil Nadu",India,Respiratory Diseases,1,2,361.0
